Reference, Value, Footprint, Datasheet
"J_IN1","Audio-Jack-2","",""
"R_IN1","100K","Resistors_SMD:R_0805_HandSoldering",""
"SW_AB1","SW_SP3T","custom_sw:SW_SPDT_W6.86MM_L12.7MM_P4.8MM_D2MM",""
"U_OUT1","TL074","",""
"U_OUT2","TL074","",""
"R_OUTA1","100K","Resistors_SMD:R_0805_HandSoldering",""
"R_OUTA2","100K","Resistors_SMD:R_0805_HandSoldering",""
"R_OUTA3","100K","Resistors_SMD:R_0805_HandSoldering",""
"J_OUT1","Audio-Jack-2","",""
"R_OUTB1","100K","Resistors_SMD:R_0805_HandSoldering",""
"R_OUTB2","100K","Resistors_SMD:R_0805_HandSoldering",""
"R_OUTB3","100K","Resistors_SMD:R_0805_HandSoldering",""
"J_OUT2","Audio-Jack-2","",""
"J_POWER1","Conn_02x05_Top_Bottom","Pin_Headers:Pin_Header_Angled_2x05_Pitch2.54mm",""
"C_BYNEG1","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C_BYPOS1","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C_OABY1","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C_OABY2","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"Q_POL1","Q_PMOS_GDS","",""
"FADER1","B50K","Bourn_PTL_Slider:Slider_PTL20_LED_35MM",""
"R_LED1","560R","Resistors_SMD:R_0805_HandSoldering",""
"J_IN2","Audio-Jack-2","",""
"R_IN2","100K","Resistors_SMD:R_0805_HandSoldering",""
"SW_AB2","SW_SP3T","custom_sw:SW_SPDT_W6.86MM_L12.7MM_P4.8MM_D2MM",""
"FADER2","B50K","Bourn_PTL_Slider:Slider_PTL20_LED_35MM",""
"R_LED2","560R","Resistors_SMD:R_0805_HandSoldering",""
"J_IN3","Audio-Jack-2","",""
"R_IN3","100K","Resistors_SMD:R_0805_HandSoldering",""
"SW_AB3","SW_SP3T","custom_sw:SW_SPDT_W6.86MM_L12.7MM_P4.8MM_D2MM",""
"FADER3","B50K","Bourn_PTL_Slider:Slider_PTL20_LED_35MM",""
"R_LED3","560R","Resistors_SMD:R_0805_HandSoldering",""
"J_IN4","Audio-Jack-2","",""
"R_IN4","100K","Resistors_SMD:R_0805_HandSoldering",""
"SW_AB4","SW_SP3T","custom_sw:SW_SPDT_W6.86MM_L12.7MM_P4.8MM_D2MM",""
"FADER4","B50K","Bourn_PTL_Slider:Slider_PTL20_LED_35MM",""
"R_LED4","560R","Resistors_SMD:R_0805_HandSoldering",""
"J_IN5","Audio-Jack-2","",""
"R_IN5","100K","Resistors_SMD:R_0805_HandSoldering",""
"SW_AB5","SW_SP3T","custom_sw:SW_SPDT_W6.86MM_L12.7MM_P4.8MM_D2MM",""
"FADER5","B50K","Bourn_PTL_Slider:Slider_PTL20_LED_35MM",""
"R_LED5","560R","Resistors_SMD:R_0805_HandSoldering",""
"J_IN6","Audio-Jack-2","",""
"R_IN6","100K","Resistors_SMD:R_0805_HandSoldering",""
"SW_AB6","SW_SP3T","custom_sw:SW_SPDT_W6.86MM_L12.7MM_P4.8MM_D2MM",""
"FADER6","B50K","Bourn_PTL_Slider:Slider_PTL20_LED_35MM",""
"R_LED6","560R","Resistors_SMD:R_0805_HandSoldering",""
"J_IN7","Audio-Jack-2","",""
"R_IN7","100K","Resistors_SMD:R_0805_HandSoldering",""
"SW_AB7","SW_SP3T","custom_sw:SW_SPDT_W6.86MM_L12.7MM_P4.8MM_D2MM",""
"FADER7","B50K","Bourn_PTL_Slider:Slider_PTL20_LED_35MM",""
"R_LED7","560R","Resistors_SMD:R_0805_HandSoldering",""
"J_IN8","Audio-Jack-2","",""
"R_IN8","100K","Resistors_SMD:R_0805_HandSoldering",""
"SW_AB8","SW_SP3T","custom_sw:SW_SPDT_W6.86MM_L12.7MM_P4.8MM_D2MM",""
"FADER8","B50K","Bourn_PTL_Slider:Slider_PTL20_LED_35MM",""
"R_LED8","560R","Resistors_SMD:R_0805_HandSoldering",""
